Country_Region,date,confirmed,daily
US,2020-04-01,223259,31180
US,2020-04-02,255535,32276
US,2020-04-03,287941,32406
US,2020-04-04,319789,31848
US,2020-04-05,349030,29241
US,2020-04-06,380814,31784
US,2020-04-07,410850,30036
US,2020-04-08,441914,31064
US,2020-04-09,477531,35617
US,2020-04-10,511815,34284
US,2020-04-11,540741,28926
US,2020-04-12,567049,26308
US,2020-04-13,594196,27147
US,2020-04-14,622524,28328
US,2020-04-15,648422,25898
US,2020-04-16,678060,29638
US,2020-04-17,711168,33108
US,2020-04-18,738497,27329
US,2020-04-19,763919,25422
US,2020-04-20,794003,30084
US,2020-04-21,820078,26075
US,2020-04-22,849959,29881
US,2020-04-23,881924,31965
US,2020-04-24,913890,31966
US,2020-04-25,944804,30914
US,2020-04-26,970775,25971
US,2020-04-27,995426,24651
US,2020-04-28,1019999,24573
US,2020-04-29,1046850,26851
US,2020-04-30,1076556,29706
