Country_Region,date,confirmed,daily
US,2021-03-01,28801579,50443
US,2021-03-02,28859997,58418
US,2021-03-03,28927052,67055
US,2021-03-04,28995991,68939
US,2021-03-05,29063874,67883
US,2021-03-06,29124898,61024
US,2021-03-07,29166507,41609
US,2021-03-08,29210601,44094
US,2021-03-09,29266103,55502
US,2021-03-10,29323872,57769
US,2021-03-11,29385666,61794
US,2021-03-12,29448253,62587
US,2021-03-13,29505076,56823
US,2021-03-14,29544349,39273
US,2021-03-15,29595386,51037
US,2021-03-16,29649451,54065
US,2021-03-17,29708722,59271
US,2021-03-18,29771108,62386
US,2021-03-19,29832745,61637
US,2021-03-20,29891605,58860
US,2021-03-21,29926984,35379
US,2021-03-22,29974406,47422
US,2021-03-23,30027265,52859
US,2021-03-24,30115017,87752
US,2021-03-25,30182648,67631
US,2021-03-26,30259016,76368
US,2021-03-27,30323061,64045
US,2021-03-28,30369379,46318
US,2021-03-29,30435250,65871
US,2021-03-30,30496946,61696
US,2021-03-31,30566474,69528
