Country_Region,date,confirmed,daily
US,2020-06-01,1806160,17844
US,2020-06-02,1826250,20090
US,2020-06-03,1845405,19155
US,2020-06-04,1873339,27934
US,2020-06-05,1899778,26439
US,2020-06-06,1920049,20271
US,2020-06-07,1937874,17825
US,2020-06-08,1954775,16901
US,2020-06-09,1975104,20329
US,2020-06-10,1996824,21720
US,2020-06-11,2019101,22277
US,2020-06-12,2044674,25573
US,2020-06-13,2068840,24166
US,2020-06-14,2087740,18900
US,2020-06-15,2108755,21015
US,2020-06-16,2133300,24545
US,2020-06-17,2160350,27050
US,2020-06-18,2188626,28276
US,2020-06-19,2219686,31060
US,2020-06-20,2251503,31817
US,2020-06-21,2277323,25820
US,2020-06-22,2307133,29810
US,2020-06-23,2345860,38727
US,2020-06-24,2382124,36264
US,2020-06-25,2421431,39307
US,2020-06-26,2470498,49067
US,2020-06-27,2511278,40780
US,2020-06-28,2554209,42931
US,2020-06-29,2595514,41305
US,2020-06-30,2645339,49825
