Country_Region,date,confirmed,daily
US,2021-08-01,35148691,44564
US,2021-08-02,35257274,108583
US,2021-08-03,35354922,97648
US,2021-08-04,35457403,102481
US,2021-08-05,35567046,109643
US,2021-08-06,35818944,251898
US,2021-08-07,35881857,62913
US,2021-08-08,35916730,34873
US,2021-08-09,36076715,159985
US,2021-08-10,36194448,117733
US,2021-08-11,36348926,154478
US,2021-08-12,36492990,144064
US,2021-08-13,36719883,226893
US,2021-08-14,36792869,72986
US,2021-08-15,36839649,46780
US,2021-08-16,37034234,194585
US,2021-08-17,37184757,150523
US,2021-08-18,37352343,167586
US,2021-08-19,37507605,155262
US,2021-08-20,37746944,239339
US,2021-08-21,37839138,92194
US,2021-08-22,37883330,44192
US,2021-08-23,38091762,208432
US,2021-08-24,38246012,154250
US,2021-08-25,38424903,178891
US,2021-08-26,38608670,183767
US,2021-08-27,38847367,238697
US,2021-08-28,38926250,78883
US,2021-08-29,38978255,52005
US,2021-08-30,39207712,229457
US,2021-08-31,39387525,179813
