Country_Region,date,confirmed,daily
US,2021-04-01,30643328,76854
US,2021-04-02,30717348,74020
US,2021-04-03,30782222,64874
US,2021-04-04,30820145,37923
US,2021-04-05,30887239,67094
US,2021-04-06,30950063,62824
US,2021-04-07,31025845,75782
US,2021-04-08,31105905,80060
US,2021-04-09,31190662,84757
US,2021-04-10,31261191,70529
US,2021-04-11,31308645,47454
US,2021-04-12,31370832,62187
US,2021-04-13,31451676,80844
US,2021-04-14,31527181,75505
US,2021-04-15,31601255,74074
US,2021-04-16,31684721,83466
US,2021-04-17,31740209,55488
US,2021-04-18,31784035,43826
US,2021-04-19,31842577,58542
US,2021-04-20,31905022,62445
US,2021-04-21,31969363,64341
US,2021-04-22,32036083,66720
US,2021-04-23,32098977,62894
US,2021-04-24,32153944,54967
US,2021-04-25,32188716,34772
US,2021-04-26,32230999,42283
US,2021-04-27,32283289,52290
US,2021-04-28,32338474,55185
US,2021-04-29,32397304,58830
US,2021-04-30,32455402,58098
