Country_Region,date,confirmed,daily
US,2020-10-01,7287802,46272
US,2020-10-02,7341251,53449
US,2020-10-03,7390543,49292
US,2020-10-04,7423680,33137
US,2020-10-05,7461050,37370
US,2020-10-06,7505606,44556
US,2020-10-07,7554761,49155
US,2020-10-08,7612669,57908
US,2020-10-09,7667766,55097
US,2020-10-10,7723145,55379
US,2020-10-11,7770042,46897
US,2020-10-12,7812120,42078
US,2020-10-13,7862255,50135
US,2020-10-14,7920713,58458
US,2020-10-15,7984262,63549
US,2020-10-16,8054468,70206
US,2020-10-17,8109332,54864
US,2020-10-18,8161518,52186
US,2020-10-19,8229419,67901
US,2020-10-20,8291159,61740
US,2020-10-21,8351871,60712
US,2020-10-22,8431498,79627
US,2020-10-23,8513203,81705
US,2020-10-24,8591603,78400
US,2020-10-25,8652586,60983
US,2020-10-26,8717163,64577
US,2020-10-27,8794351,77188
US,2020-10-28,8880918,86567
US,2020-10-29,8972235,91317
US,2020-10-30,9072106,99871
US,2020-10-31,9159459,87353
