Country_Region,date,confirmed,daily
US,2020-07-01,2694474,49135
US,2020-07-02,2749456,54982
US,2020-07-03,2801000,51544
US,2020-07-04,2846978,45978
US,2020-07-05,2900769,53791
US,2020-07-06,2943906,43137
US,2020-07-07,3001189,57283
US,2020-07-08,3061491,60302
US,2020-07-09,3121164,59673
US,2020-07-10,3190053,68889
US,2020-07-11,3250559,60506
US,2020-07-12,3310731,60172
US,2020-07-13,3370155,59424
US,2020-07-14,3435874,65719
US,2020-07-15,3502003,66129
US,2020-07-16,3572872,70869
US,2020-07-17,3639248,66376
US,2020-07-18,3703556,64308
US,2020-07-19,3762484,58928
US,2020-07-20,3823165,60681
US,2020-07-21,3891395,68230
US,2020-07-22,3958961,67566
US,2020-07-23,4026889,67928
US,2020-07-24,4102121,75232
US,2020-07-25,4166309,64188
US,2020-07-26,4222160,55851
US,2020-07-27,4281928,59768
US,2020-07-28,4346751,64823
US,2020-07-29,4410928,64177
US,2020-07-30,4480184,69256
US,2020-07-31,4544888,64704
