Country_Region,date,confirmed,daily
US,2020-08-01,4602475,57587
US,2020-08-02,4649609,47134
US,2020-08-03,4691340,41731
US,2020-08-04,4752974,61634
US,2020-08-05,4807354,54380
US,2020-08-06,4867548,60194
US,2020-08-07,4928176,60628
US,2020-08-08,4992056,63880
US,2020-08-09,5046286,54230
US,2020-08-10,5097918,51632
US,2020-08-11,5154844,56926
US,2020-08-12,5210103,55259
US,2020-08-13,5261766,51663
US,2020-08-14,5331895,70129
US,2020-08-15,5384297,52402
US,2020-08-16,5418993,34696
US,2020-08-17,5456828,37835
US,2020-08-18,5501710,44882
US,2020-08-19,5547611,45901
US,2020-08-20,5592754,45143
US,2020-08-21,5640349,47595
US,2020-08-22,5686041,45692
US,2020-08-23,5717959,31918
US,2020-08-24,5751890,33931
US,2020-08-25,5794577,42687
US,2020-08-26,5836655,42078
US,2020-08-27,5887179,50524
US,2020-08-28,5933651,46472
US,2020-08-29,5976758,43107
US,2020-08-30,6010895,34137
US,2020-08-31,6044259,33364
