Country_Region,date,confirmed,daily
US,2021-07-01,33795192,15123
US,2021-07-02,33824945,29753
US,2021-07-03,33830356,5411
US,2021-07-04,33834639,4283
US,2021-07-05,33843536,8897
US,2021-07-06,33865831,22295
US,2021-07-07,33885999,20168
US,2021-07-08,33906864,20865
US,2021-07-09,33954463,47599
US,2021-07-10,33964570,10107
US,2021-07-11,33976316,11746
US,2021-07-12,34005764,29448
US,2021-07-13,34032292,26528
US,2021-07-14,34063418,31126
US,2021-07-15,34095386,31968
US,2021-07-16,34173504,78118
US,2021-07-17,34187578,14074
US,2021-07-18,34207903,20325
US,2021-07-19,34256762,48859
US,2021-07-20,34296518,39756
US,2021-07-21,34344249,47731
US,2021-07-22,34400794,56545
US,2021-07-23,34521616,120822
US,2021-07-24,34550293,28677
US,2021-07-25,34578264,27971
US,2021-07-26,34657809,79545
US,2021-07-27,34722747,64938
US,2021-07-28,34796320,73573
US,2021-07-29,34868854,72534
US,2021-07-30,35060335,191481
US,2021-07-31,35104127,43792
