Country_Region,date,confirmed,daily
US,2022-07-01,87833126,157432
US,2022-07-02,87852125,18999
US,2022-07-03,87859388,7263
US,2022-07-04,87939853,80465
US,2022-07-05,88079739,139886
US,2022-07-06,88280198,200459
US,2022-07-07,88422213,142015
US,2022-07-08,88561064,138851
US,2022-07-09,88588619,27555
US,2022-07-10,88611924,23305
US,2022-07-11,88815598,203674
US,2022-07-12,88964002,148404
US,2022-07-13,89168573,204571
US,2022-07-14,89343967,175394
US,2022-07-15,89495865,151898
US,2022-07-16,89536098,40233
US,2022-07-17,89564591,28493
US,2022-07-18,89731993,167402
US,2022-07-19,89849302,117309
US,2022-07-20,90065821,216519
US,2022-07-21,90246571,180750
US,2022-07-22,90379220,132649
US,2022-07-23,90404476,25256
US,2022-07-24,90426635,22159
US,2022-07-25,90617028,190393
US,2022-07-26,90750062,133034
US,2022-07-27,90989993,239931
US,2022-07-28,91167253,177260
US,2022-07-29,91327332,160079
US,2022-07-30,91342183,14851
US,2022-07-31,91354016,11833
