Country_Region,date,confirmed,daily
US,2020-09-01,6086242,41983
US,2020-09-02,6126204,39962
US,2020-09-03,6171364,45160
US,2020-09-04,6219722,48358
US,2020-09-05,6263339,43617
US,2020-09-06,6292452,29113
US,2020-09-07,6317017,24565
US,2020-09-08,6343764,26747
US,2020-09-09,6377410,33646
US,2020-09-10,6416850,39440
US,2020-09-11,6461496,44646
US,2020-09-12,6507078,45582
US,2020-09-13,6547360,40282
US,2020-09-14,6579928,32568
US,2020-09-15,6617121,37193
US,2020-09-16,6655406,38285
US,2020-09-17,6700730,45324
US,2020-09-18,6750919,50189
US,2020-09-19,6796699,45780
US,2020-09-20,6838313,41614
US,2020-09-21,6870355,32042
US,2020-09-22,6908627,38272
US,2020-09-23,6949755,41128
US,2020-09-24,6998658,48903
US,2020-09-25,7045798,47140
US,2020-09-26,7089340,43542
US,2020-09-27,7123124,33784
US,2020-09-28,7160855,37731
US,2020-09-29,7202906,42051
US,2020-09-30,7241530,38624
