Country_Region,date,confirmed,daily
US,2021-05-01,32504183,48781
US,2021-05-02,32534734,30551
US,2021-05-03,32579354,44620
US,2021-05-04,32622253,42899
US,2021-05-05,32668296,46043
US,2021-05-06,32714472,46176
US,2021-05-07,32762898,48426
US,2021-05-08,32798539,35641
US,2021-05-09,32821412,22873
US,2021-05-10,32853789,32377
US,2021-05-11,32889270,35481
US,2021-05-12,32925419,36149
US,2021-05-13,32964160,38741
US,2021-05-14,33006371,42211
US,2021-05-15,33037127,30756
US,2021-05-16,33054818,17691
US,2021-05-17,33080076,25258
US,2021-05-18,33108993,28917
US,2021-05-19,33138591,29598
US,2021-05-20,33168808,30217
US,2021-05-21,33197634,28826
US,2021-05-22,33218839,21205
US,2021-05-23,33232624,13785
US,2021-05-24,33254500,21876
US,2021-05-25,33279092,24592
US,2021-05-26,33303689,24597
US,2021-05-27,33330528,26839
US,2021-05-28,33352771,22243
US,2021-05-29,33366078,13307
US,2021-05-30,33373432,7354
US,2021-05-31,33379705,6273
