Country_Region,date,confirmed,daily
US,2022-05-01,81447733,16699
US,2022-05-02,81542494,94761
US,2022-05-03,81592148,49654
US,2022-05-04,81704226,112078
US,2022-05-05,81792855,88629
US,2022-05-06,81921752,128897
US,2022-05-07,81949568,27816
US,2022-05-08,81955344,5776
US,2022-05-09,82085506,130162
US,2022-05-10,82155852,70346
US,2022-05-11,82316142,160290
US,2022-05-12,82430259,114117
US,2022-05-13,82517769,87510
US,2022-05-14,82534833,17064
US,2022-05-15,82566951,32118
US,2022-05-16,82745776,178825
US,2022-05-17,82830447,84671
US,2022-05-18,83034296,203849
US,2022-05-19,83169582,135286
US,2022-05-20,83318843,149261
US,2022-05-21,83345748,26905
US,2022-05-22,83365320,19572
US,2022-05-23,83507945,142625
US,2022-05-24,83591058,83113
US,2022-05-25,83801215,210157
US,2022-05-26,83946833,145618
US,2022-05-27,84055108,108275
US,2022-05-28,84067831,12723
US,2022-05-29,84073631,5800
US,2022-05-30,84134530,60899
US,2022-05-31,84304923,170393
