Country_Region,date,confirmed,daily
US,2020-05-01,1111452,34896
US,2020-05-02,1138215,26763
US,2020-05-03,1161973,23758
US,2020-05-04,1185775,23802
US,2020-05-05,1209795,24020
US,2020-05-06,1234280,24485
US,2020-05-07,1262020,27740
US,2020-05-08,1289203,27183
US,2020-05-09,1313657,24454
US,2020-05-10,1332404,18747
US,2020-05-11,1351481,19077
US,2020-05-12,1374861,23380
US,2020-05-13,1394876,20015
US,2020-05-14,1420766,25890
US,2020-05-15,1445618,24852
US,2020-05-16,1469668,24050
US,2020-05-17,1488397,18729
US,2020-05-18,1510706,22309
US,2020-05-19,1531209,20503
US,2020-05-20,1554037,22828
US,2020-05-21,1579190,25153
US,2020-05-22,1603019,23829
US,2020-05-23,1623208,20189
US,2020-05-24,1643382,20174
US,2020-05-25,1662476,19094
US,2020-05-26,1681201,18725
US,2020-05-27,1699966,18765
US,2020-05-28,1721232,21266
US,2020-05-29,1746312,25080
US,2020-05-30,1769396,23084
US,2020-05-31,1788316,18920
