Country_Region,date,confirmed,daily
US,2022-06-01,84532488,227565
US,2022-06-02,84654297,121809
US,2022-06-03,84812122,157825
US,2022-06-04,84838519,26397
US,2022-06-05,84853370,14851
US,2022-06-06,85016201,162831
US,2022-06-07,85102933,86732
US,2022-06-08,85302199,199266
US,2022-06-09,85445234,143035
US,2022-06-10,85553066,107832
US,2022-06-11,85587005,33939
US,2022-06-12,85603524,16519
US,2022-06-13,85758005,154481
US,2022-06-14,85848003,89998
US,2022-06-15,86032813,184810
US,2022-06-16,86162867,130054
US,2022-06-17,86302403,139536
US,2022-06-18,86318795,16392
US,2022-06-19,86335643,16848
US,2022-06-20,86432295,96652
US,2022-06-21,86544023,111728
US,2022-06-22,86729376,185353
US,2022-06-23,86878547,149171
US,2022-06-24,86996570,118023
US,2022-06-25,87036120,39550
US,2022-06-26,87057109,20989
US,2022-06-27,87220975,163866
US,2022-06-28,87318039,97064
US,2022-06-29,87508198,190159
US,2022-06-30,87675694,167496
