Country_Region,date,confirmed,daily
US,2020-03-01,39,13
US,2020-03-02,57,18
US,2020-03-03,79,22
US,2020-03-04,113,34
US,2020-03-05,184,71
US,2020-03-06,247,63
US,2020-03-07,417,170
US,2020-03-08,538,121
US,2020-03-09,630,92
US,2020-03-10,797,167
US,2020-03-11,1156,359
US,2020-03-12,1596,440
US,2020-03-13,2222,626
US,2020-03-14,2952,730
US,2020-03-15,3234,282
US,2020-03-16,4667,1433
US,2020-03-17,6450,1783
US,2020-03-18,9156,2706
US,2020-03-19,13663,4507
US,2020-03-20,20064,6401
US,2020-03-21,26056,5992
US,2020-03-22,34944,8888
US,2020-03-23,46096,11152
US,2020-03-24,56714,10618
US,2020-03-25,68841,12127
US,2020-03-26,86662,17821
US,2020-03-27,105253,18591
US,2020-03-28,127417,22164
US,2020-03-29,143544,16127
US,2020-03-30,165698,22154
US,2020-03-31,192079,26381
