Country_Region,date,confirmed,daily
US,2022-01-01,55029074,188514
US,2022-01-02,55314782,285708
US,2022-01-03,56360193,1045411
US,2022-01-04,57172554,812361
US,2022-01-05,57835354,662800
US,2022-01-06,58670366,835012
US,2022-01-07,59540267,869901
US,2022-01-08,59937497,397230
US,2022-01-09,60422124,484627
US,2022-01-10,61806034,1383910
US,2022-01-11,62594637,788603
US,2022-01-12,63443246,848609
US,2022-01-13,64304336,861090
US,2022-01-14,65184363,880027
US,2022-01-15,65592260,407897
US,2022-01-16,66071543,479283
US,2022-01-17,66746523,674980
US,2022-01-18,67877395,1130872
US,2022-01-19,68785168,907773
US,2022-01-20,69517909,732741
US,2022-01-21,70348763,830854
US,2022-01-22,70651199,302436
US,2022-01-23,71016607,365408
US,2022-01-24,71938582,921975
US,2022-01-25,72431507,492925
US,2022-01-26,73108513,677006
US,2022-01-27,73615627,507114
US,2022-01-28,74230435,614808
US,2022-01-29,74409019,178584
US,2022-01-30,74606958,197939
US,2022-01-31,75150335,543377
