Country_Region,date,confirmed,daily
US,2021-09-01,39578083,190558
US,2021-09-02,39757196,179113
US,2021-09-03,39992674,235478
US,2021-09-04,40078579,85905
US,2021-09-05,40142078,63499
US,2021-09-06,40235671,93593
US,2021-09-07,40445267,209596
US,2021-09-08,40621978,176711
US,2021-09-09,40788395,166417
US,2021-09-10,41030378,241983
US,2021-09-11,41119500,89122
US,2021-09-12,41167847,48347
US,2021-09-13,41378888,211041
US,2021-09-14,41524147,145259
US,2021-09-15,41697390,173243
US,2021-09-16,41856161,158771
US,2021-09-17,42067021,210860
US,2021-09-18,42141911,74890
US,2021-09-19,42186779,44868
US,2021-09-20,42358634,171855
US,2021-09-21,42480390,121756
US,2021-09-22,42611741,131351
US,2021-09-23,42740904,129163
US,2021-09-24,42915695,174791
US,2021-09-25,42976126,60431
US,2021-09-26,43030437,54311
US,2021-09-27,43186424,155987
US,2021-09-28,43299206,112782
US,2021-09-29,43420595,121389
US,2021-09-30,43530970,110375
