Country_Region,date,confirmed,daily
US,2021-11-01,46153572,113262
US,2021-11-02,46222312,68740
US,2021-11-03,46307910,85598
US,2021-11-04,46389354,81444
US,2021-11-05,46486216,96862
US,2021-11-06,46521062,34846
US,2021-11-07,46557888,36826
US,2021-11-08,46668672,110784
US,2021-11-09,46747023,78351
US,2021-11-10,46842087,95064
US,2021-11-11,46899712,57625
US,2021-11-12,47043234,143522
US,2021-11-13,47087162,43928
US,2021-11-14,47119074,31912
US,2021-11-15,47253153,134079
US,2021-11-16,47340421,87268
US,2021-11-17,47453265,112844
US,2021-11-18,47563094,109829
US,2021-11-19,47689965,126871
US,2021-11-20,47735312,45347
US,2021-11-21,47775140,39828
US,2021-11-22,47919778,144638
US,2021-11-23,48011110,91332
US,2021-11-24,48122696,111586
US,2021-11-25,48161995,39299
US,2021-11-26,48215413,53418
US,2021-11-27,48241950,26537
US,2021-11-28,48285099,43149
US,2021-11-29,48471381,186282
US,2021-11-30,48588566,117185
