Country_Region,date,confirmed,daily
US,2021-02-01,26466882,125307
US,2021-02-02,26583948,117066
US,2021-02-03,26708355,124407
US,2021-02-04,26833406,125051
US,2021-02-05,26964503,131097
US,2021-02-06,27081346,116843
US,2021-02-07,27170770,89424
US,2021-02-08,27253583,82813
US,2021-02-09,27348976,95393
US,2021-02-10,27444265,95289
US,2021-02-11,27551047,106782
US,2021-02-12,27651621,100574
US,2021-02-13,27742374,90753
US,2021-02-14,27810692,68318
US,2021-02-15,27866146,55454
US,2021-02-16,27925376,59230
US,2021-02-17,27994231,68855
US,2021-02-18,28066820,72589
US,2021-02-19,28141985,75165
US,2021-02-20,28215704,73719
US,2021-02-21,28271006,55302
US,2021-02-22,28326490,55484
US,2021-02-23,28400365,73875
US,2021-02-24,28475389,75024
US,2021-02-25,28552670,77281
US,2021-02-26,28628088,75418
US,2021-02-27,28699376,71288
US,2021-02-28,28751136,51760
