Country_Region,date,confirmed,daily
US,2021-06-01,33400565,20860
US,2021-06-02,33417277,16712
US,2021-06-03,33435676,18399
US,2021-06-04,33453539,17863
US,2021-06-05,33469143,15604
US,2021-06-06,33475158,6015
US,2021-06-07,33489232,14074
US,2021-06-08,33502273,13041
US,2021-06-09,33520837,18564
US,2021-06-10,33535621,14784
US,2021-06-11,33560767,25146
US,2021-06-12,33569927,9160
US,2021-06-13,33575197,5270
US,2021-06-14,33586985,11788
US,2021-06-15,33597716,10731
US,2021-06-16,33609626,11910
US,2021-06-17,33621386,11760
US,2021-06-18,33642568,21182
US,2021-06-19,33651619,9051
US,2021-06-20,33656572,4953
US,2021-06-21,33667127,10555
US,2021-06-22,33677922,10795
US,2021-06-23,33690587,12665
US,2021-06-24,33705063,14476
US,2021-06-25,33729662,24599
US,2021-06-26,33739031,9369
US,2021-06-27,33743654,4623
US,2021-06-28,33757244,13590
US,2021-06-29,33764721,7477
US,2021-06-30,33780069,15348
