Country_Region,date,confirmed,daily
US,2022-03-01,79158512,46687
US,2022-03-02,79212097,53585
US,2022-03-03,79260765,48668
US,2022-03-04,79319927,59162
US,2022-03-05,79334841,14914
US,2022-03-06,79347229,12388
US,2022-03-07,79403505,56276
US,2022-03-08,79433298,29793
US,2022-03-09,79471032,37734
US,2022-03-10,79517627,46595
US,2022-03-11,79567333,49706
US,2022-03-12,79577549,10216
US,2022-03-13,79588593,11044
US,2022-03-14,79624009,35416
US,2022-03-15,79648388,24379
US,2022-03-16,79694525,46137
US,2022-03-17,79747710,53185
US,2022-03-18,79779083,31373
US,2022-03-19,79789954,10871
US,2022-03-20,79801401,11447
US,2022-03-21,79843695,42294
US,2022-03-22,79868262,24567
US,2022-03-23,79909216,40954
US,2022-03-24,79952210,42994
US,2022-03-25,79998651,46441
US,2022-03-26,80008079,9428
US,2022-03-27,80019863,11784
US,2022-03-28,80058842,38979
US,2022-03-29,80083011,24169
US,2022-03-30,80122195,39184
US,2022-03-31,80167855,45660
