Country_Region,date,confirmed,daily
US,2021-12-01,48725695,137129
US,2021-12-02,48864547,138852
US,2021-12-03,49023177,158630
US,2021-12-04,49089483,66306
US,2021-12-05,49144651,55168
US,2021-12-06,49322386,177735
US,2021-12-07,49435647,113261
US,2021-12-08,49585561,149914
US,2021-12-09,49710088,124527
US,2021-12-10,49868304,158216
US,2021-12-11,49924875,56571
US,2021-12-12,49977166,52291
US,2021-12-13,50162685,185519
US,2021-12-14,50275509,112824
US,2021-12-15,50421356,145847
US,2021-12-16,50563085,141729
US,2021-12-17,50755738,192653
US,2021-12-18,50835483,79745
US,2021-12-19,50924672,89189
US,2021-12-20,51164732,240060
US,2021-12-21,51344145,179413
US,2021-12-22,51587885,243740
US,2021-12-23,51857597,269712
US,2021-12-24,52106076,248479
US,2021-12-25,52192700,86624
US,2021-12-26,52371029,178329
US,2021-12-27,52871609,500580
US,2021-12-28,53233964,362355
US,2021-12-29,53736174,502210
US,2021-12-30,54327033,590859
US,2021-12-31,54840560,513527
