Country_Region,date,confirmed,daily
US,2020-12-01,13828439,197112
US,2020-12-02,14024619,196180
US,2020-12-03,14244842,220223
US,2020-12-04,14480146,235304
US,2020-12-05,14702154,222008
US,2020-12-06,14881518,179364
US,2020-12-07,15076993,195475
US,2020-12-08,15304144,227151
US,2020-12-09,15520212,216068
US,2020-12-10,15757131,236919
US,2020-12-11,15996063,238932
US,2020-12-12,16220548,224485
US,2020-12-13,16412172,191624
US,2020-12-14,16621957,209785
US,2020-12-15,16848298,226341
US,2020-12-16,17083106,234808
US,2020-12-17,17323367,240261
US,2020-12-18,17571348,247981
US,2020-12-19,17777171,205823
US,2020-12-20,17964415,187244
US,2020-12-21,18161237,196822
US,2020-12-22,18367194,205957
US,2020-12-23,18588618,221424
US,2020-12-24,18801554,212936
US,2020-12-25,18928566,127012
US,2020-12-26,19146025,217459
US,2020-12-27,19282113,136088
US,2020-12-28,19455469,173356
US,2020-12-29,19661478,206009
US,2020-12-30,19879825,218347
US,2020-12-31,20194711,314886
