Country_Region,date,confirmed,daily
US,2021-10-01,43685794,154824
US,2021-10-02,43733964,48170
US,2021-10-03,43778740,44776
US,2021-10-04,43921732,142992
US,2021-10-05,44016974,95242
US,2021-10-06,44129160,112186
US,2021-10-07,44230694,101534
US,2021-10-08,44362103,131409
US,2021-10-09,44400902,38799
US,2021-10-10,44440566,39664
US,2021-10-11,44536688,96122
US,2021-10-12,44647304,110616
US,2021-10-13,44755770,108466
US,2021-10-14,44842704,86934
US,2021-10-15,44952184,109480
US,2021-10-16,44991950,39766
US,2021-10-17,45023608,31658
US,2021-10-18,45122564,98956
US,2021-10-19,45204516,81952
US,2021-10-20,45296124,91608
US,2021-10-21,45374205,78081
US,2021-10-22,45470163,95958
US,2021-10-23,45502568,32405
US,2021-10-24,45521735,19167
US,2021-10-25,45634304,112569
US,2021-10-26,45700962,66658
US,2021-10-27,45803513,102551
US,2021-10-28,45878612,75099
US,2021-10-29,45973710,95098
US,2021-10-30,46007989,34279
US,2021-10-31,46040310,32321
