Country_Region,date,confirmed,daily
US,2021-01-01,20373562,178851
US,2021-01-02,20645803,272241
US,2021-01-03,20849255,203452
US,2021-01-04,21034776,185521
US,2021-01-05,21267694,232918
US,2021-01-06,21527385,259691
US,2021-01-07,21813650,286265
US,2021-01-08,22117715,304065
US,2021-01-09,22382520,264805
US,2021-01-10,22593268,210748
US,2021-01-11,22797299,204031
US,2021-01-12,23019203,221904
US,2021-01-13,23248525,229322
US,2021-01-14,23484174,235649
US,2021-01-15,23729012,244838
US,2021-01-16,23946780,217768
US,2021-01-17,24123342,176562
US,2021-01-18,24264238,140896
US,2021-01-19,24421144,156906
US,2021-01-20,24608519,187375
US,2021-01-21,24801159,192640
US,2021-01-22,24992833,191674
US,2021-01-23,25171008,178175
US,2021-01-24,25311156,140148
US,2021-01-25,25440752,129596
US,2021-01-26,25591791,151039
US,2021-01-27,25747240,155449
US,2021-01-28,25914054,166814
US,2021-01-29,26077790,163736
US,2021-01-30,26228717,150927
US,2021-01-31,26341575,112858
