Country_Region,date,confirmed,daily
US,2022-04-01,80200096,32241
US,2022-04-02,80211891,11795
US,2022-04-03,80216643,4752
US,2022-04-04,80255903,39260
US,2022-04-05,80281561,25658
US,2022-04-06,80322529,40968
US,2022-04-07,80373169,50640
US,2022-04-08,80448221,75052
US,2022-04-09,80460927,12706
US,2022-04-10,80470458,9531
US,2022-04-11,80510823,40365
US,2022-04-12,80546574,35751
US,2022-04-13,80597640,51066
US,2022-04-14,80652704,55064
US,2022-04-15,80677848,25144
US,2022-04-16,80700480,22632
US,2022-04-17,80707978,7498
US,2022-04-18,80769434,61456
US,2022-04-19,80808715,39281
US,2022-04-20,80877677,68962
US,2022-04-21,80939398,61721
US,2022-04-22,81029497,90099
US,2022-04-23,81049224,19727
US,2022-04-24,81062720,13496
US,2022-04-25,81132989,70269
US,2022-04-26,81178367,45378
US,2022-04-27,81268407,90040
US,2022-04-28,81345778,77371
US,2022-04-29,81407046,61268
US,2022-04-30,81431034,23988
